YEAR MON DAY    tlake   fice    hice   hsnow    evap   lakelev  discharge   d18O
1951   1   1   0.0128 1.0000  0.4046  0.0736  0.0000    1.2039 0.0000E+00  -3.95 
1951   1   2   0.0109 1.0000  0.4105  0.0950  0.0000    1.2040 0.0000E+00  -3.95 
1951   1   3   0.0096 1.0000  0.4168  0.1044  0.0000    1.2042 0.0000E+00  -3.96 
1951   1   4   0.0099 1.0000  0.4239  0.1066  0.0000    1.2044 0.0000E+00  -3.96 
1951   1   5   0.0106 1.0000  0.4301  0.1082  0.0000    1.2046 0.0000E+00  -3.96 
1951   1   6   0.0125 1.0000  0.4362  0.1097  0.0000    1.2047 0.0000E+00  -3.96 
1951   1   7   0.0139 1.0000  0.4391  0.1097  0.0000    1.2049 0.0000E+00  -3.96 
1951   1   8   0.0138 1.0000  0.4404  0.1080  0.0000    1.2051 0.0000E+00  -3.96 
1951   1   9   0.0138 1.0000  0.4424  0.1068  0.0000    1.2053 0.0000E+00  -3.96 
1951   1  10   0.0139 1.0000  0.4450  0.1056  0.0000    1.2055 0.0000E+00  -3.96 
1951   1  11   0.0138 1.0000  0.4478  0.1046  0.0000    1.2056 0.0000E+00  -3.96 
1951   1  12   0.0139 1.0000  0.4511  0.1039  0.0000    1.2058 0.0000E+00  -3.96 
1951   1  13   0.0140 1.0000  0.4544  0.1030  0.0000    1.2060 0.0000E+00  -3.97 
1951   1  14   0.0136 1.0000  0.4563  0.1015  0.0000    1.2062 0.0000E+00  -3.97 
1951   1  15   0.0119 1.0000  0.4566  0.0990  0.0000    1.2063 0.0000E+00  -3.97 
1951   1  16   0.0102 1.0000  0.4572  0.0958  0.0000    1.2065 0.0000E+00  -3.97 
1951   1  17   0.0099 1.0000  0.4586  0.0942  0.0000    1.2067 0.0000E+00  -3.97 
1951   1  18   0.0099 1.0000  0.4619  0.1110  0.0000    1.2069 0.0000E+00  -3.97 
1951   1  19   0.0096 1.0000  0.4903  0.1231  0.0000    1.2071 0.0000E+00  -3.97 
1951   1  20   0.0093 1.0000  0.5165  0.1299  0.0000    1.2072 0.0000E+00  -3.97 
1951   1  21   0.0090 1.0000  0.5231  0.1315  0.0000    1.2074 0.0000E+00  -3.97 
1951   1  22   0.0080 1.0000  0.5336  0.1341  0.0000    1.2076 0.0000E+00  -3.97 
1951   1  23   0.0077 1.0000  0.5458  0.1372  0.0000    1.2078 0.0000E+00  -3.97 
1951   1  24   0.0084 1.0000  0.5569  0.1400  0.0000    1.2079 0.0000E+00  -3.97 
1951   1  25   0.0097 1.0000  0.5634  0.1417  0.0000    1.2081 0.0000E+00  -3.98 
1951   1  26   0.0094 1.0000  0.5618  0.1400  0.0000    1.2083 0.0000E+00  -3.98 
